Taxa	ADW	FW	ML	pSL	RL	SL	TL
B09/DM07	0.0411717848406001	0.449247014012833	2.48692470312553	21.3643291501433	23.2475228806355	23.952015870561	47.2712253343937
B09/5707	0.0295768859118534	0.401390602527831	2.04541304100106	18.3752260393373	20.5765779438852	20.4043216676175	41.0976958857764
B09/FBHJ	0.0416988257009977	0.407722468368539	2.25083217505678	19.1693481104884	23.9796752905748	21.4441083164429	45.7602020619937
lan766-4-2/DM07	0.0357363763466745	0.409367493531206	2.08359762750171	18.705100241631	16.377516215383	20.8355093348558	36.8389389283414
lan766-4-2/B09	0.0385946905879875	0.447707373793172	1.98093093690904	19.3073497347157	22.1619702011159	21.28054456942	43.6023656140649
baiU8112/DM07	0.0265832938247951	0.272583206730701	2.28245812725293	13.9908396990562	20.3770779321886	16.3528910119046	37.1807283813623
baiU8112/B09	0.0278271102553334	0.329825677226388	1.94571900877191	14.0678971026523	20.6567893952155	16.0582752461363	37.2789479768948
baiU8112/lan766-4-2	0.0364284170970219	0.43394540291367	2.15524851451662	17.9736388694814	24.0889212896957	20.2191368320093	44.7862238686535
J8606/B09	0.0341094373112726	0.397983132885544	2.301082903827	18.5476243548062	19.5473401975841	20.8950428148459	40.5439262711068
NN14B/M3	0.0326337229021593	0.416275048382897	1.55035551997627	17.0908651919228	20.6828939386602	18.5769010181262	39.4751755731717
NN14B/1145	0.0311580084930461	0.338324057241011	1.58665965494967	13.1822148570774	17.7549833132632	14.7181060274128	32.8470195583468
NN14B/SC11-1	0.0348472945158292	0.380897831769416	2.03713611408408	16.6962650313669	22.2301439052193	18.7510897599537	41.3609711225861
NN14B/W968	0.0402863561951322	0.512188971849611	1.61288597279907	18.8757789810029	21.9998059584522	20.3730579632214	42.717328781512
NN14B/468-3	0.027468722470263	0.348039606037503	1.57212182491799	12.646878134516	16.9042721286574	14.1852191699371	31.5339073696793
NN14B/changK	0.0253605590286727	0.313374007028449	1.63923309695179	12.2546747813643	15.0611726185774	13.8550222829483	29.2186981822142
NN14B/lan766-4-2	0.0350159475911564	0.375577680958921	1.82074383834702	16.2913219929443	19.0756539589894	18.109189792289	37.4296235303099
NN14B/baiU8112	0.037161681291737	0.387823718428454	1.77297837583937	15.0449792706506	22.4582018306895	16.6853109762783	40.3632619897115
NN14B/J8606	0.0432799482821905	0.518341179170628	1.6312112142699	19.8783771040072	24.6629551574946	21.4414564060538	46.4985857244535
NN14B/T24	0.037161681291737	0.482099287823775	2.05649257551198	18.1101716628285	24.429470009189	20.2131954393951	45.3666024698397
NN14B/PHT77	0.0669967870000816	0.405648791899918	1.93289665249842	15.9803416860298	20.1366912773954	17.906878525738	38.3883517450851
