Taxa	ADW	FW	ML	pSL	RL	SL	TL
HHe01	0.0200127380493305	0.285118488488617	1.39162491293221	12.3034359219716	13.8388261417757	13.7300070715427	27.5488417251513
huangchangb	0.0187940915714787	0.290412698909853	1.90824410322499	14.7325634243615	11.7330041282529	16.6677897841776	27.8916085457183
huobai	0.0125222869802223	0.200807398676064	1.75684270368241	10.1695583320588	8.065432629162	12.0156066611772	19.8293029688694
huotanghuang	0.0222368101749232	0.328523416619478	2.14601845276865	13.0243089554375	13.8554410229543	15.1810251297856	28.9368794098881
IBB14	0.0161130693202049	0.248700767098392	1.72530446626043	10.9795996938116	11.9592136829446	12.7510865697664	24.6283686124273
J8606	0.0195546219293478	0.285999959029106	1.56353919347954	13.0797857061366	12.8267457977597	14.6329174777094	27.4800081980083
ji432	0.0128045967844914	0.2365948592279	1.39817227702562	11.1207921408749	12.3356752906872	12.4870711842847	24.8798769459752
ji434	0.018026785364221	0.237786491359468	2.34100666060786	12.2951970255546	12.4949397824865	14.6579331372571	26.9582658152869
ji444	0.0123390966892047	0.241815274009001	1.52153431282358	11.2796617774564	14.6346944742477	12.7607275320384	27.6673001160835
ji63	0.0144418879807461	0.210122824063835	2.51599059063318	13.1780930724888	9.71789822953439	15.8293549544465	25.1827513982706
ji833	0.0168483198676453	0.278074901341301	2.1477516178329	10.5131165411031	12.1281701243505	12.7121384641692	24.7654413724275
ji846	0.0191708415907725	0.284915060885043	1.7984886067565	11.5828665362471	12.8028817807508	13.4189253688634	26.1369070695547
jian1495b	0.0197690087537601	0.288964236562518	1.47384915860023	11.6229135394848	12.4153089462671	13.1429097534479	25.4447253658563
K10	0.0269346500435283	0.382395285192392	1.9324347631049	15.2154357212312	14.0227908600366	17.1941984924535	30.8663258552133
K14	0.00752247100801441	0.176039924464799	1.22875942199115	8.49679364859492	7.02293649114933	9.68372596131432	16.5545655885424
K22	0.0415104370133601	0.491865257498054	1.49189570959104	17.1947333385932	16.7748696017417	18.7247045522439	35.6572107186074
KP3130	0.017575445093627	0.260989098351934	2.07448089471416	12.3032063977251	16.5558643334171	14.4433049797872	31.0677709504154
L061M	0.0152112709265946	0.213881107029649	1.54171875619082	9.26871494144921	11.4577290431387	10.8130432139573	22.2942805283935
L139	0.0181847683325529	0.246642940355258	1.7164214011914	10.635580113972	14.3193398409186	12.4017505968435	26.8165131402784
L473	0.0208767929749395	0.32464474457469	1.93961975801926	11.7058698227707	8.14430776540076	13.7088176801342	21.2328054707445
lan766-4-2	0.0180729756922627	0.273748229813159	1.97793904468248	10.5679710253882	10.4846251262049	12.614098326587	22.8608684045988
LH127	0.0144312360032687	0.253953344059098	1.97393087422328	11.1843873442696	11.1797064405055	13.2409438877828	24.1836375286971
LH162	0.0170148677138152	0.235004830268727	1.61763147414019	11.6587220496905	13.4277544171936	13.315316985041	26.6954705058935
LH215	0.0194521606695187	0.281095076623299	1.71387326687476	10.5368605048017	11.5510705376064	12.2839731384171	23.7283392759872
LH60	0.0163347965232373	0.220873164977253	1.13834641574127	8.25262881122809	10.60472547427	9.36146834160768	20.2045623372781
LH82	0.0127739779708912	0.158377726239127	1.4044308925766	8.12143291892098	6.18443794887399	9.53098735400251	15.4523399944547
LH93	0.0191840584443913	0.241983980946634	1.19296119341013	10.4223585157541	13.6543623077475	11.6641209522212	25.4767503118096
liao2204	0.0222063017094636	0.238473813495847	1.82532071078403	9.29322287394708	10.6134111495617	11.17066150989	21.6835644645972
liao5110	0.0133341518522557	0.217378596188568	1.56934672639862	9.75733084727727	10.2694713922761	11.3275093505778	21.5338487492114
liao7794	0.0199472572105435	0.321652856452039	1.61682033745621	10.6582829029682	11.9790898367533	12.2780995852752	24.2302651193227
Lo1067	0.0241561360740264	0.304126822726904	1.84717249823779	13.6868063593833	12.469563574719	15.567645658381	27.680646216655
longkang1	0.00778829947971212	0.137130226731065	1.16333906870157	7.22806762417901	4.71062500537477	8.36528960500197	12.9068300494645
Lp215D	0.0163567986157753	0.250450741638579	2.19443206667957	11.5568896201016	10.1584931996279	13.8761489240954	23.5506527074915
luosu3	0.0163670243080957	0.239554629444948	1.24025181734963	10.0056111149492	11.7049142553101	11.2351777030399	23.0247104554017
Lx9801	0.0152369306247276	0.19230907734291	1.24914491571879	8.93847057637789	11.2286631386663	10.2178217975573	21.5309070381726
M101	0.0111653646201269	0.253569926826662	2.08322178385567	10.6491205137787	7.67324878687871	12.7749224146312	19.9522969852407
M22	0.0142850996034273	0.262601344514553	1.7218899205653	10.2547877303396	9.83676940425633	12.0169101886951	21.6593468480085
M3	0.0144069642512125	0.220413089353959	1.92801195355084	10.7868558355686	8.01473436990213	12.7689426273653	20.3773544821419
M3736	0.0126587078360592	0.145718441681407	2.23271396831441	6.75392351070027	8.31481658554166	9.1265849072848	17.2827068286855
MBUB	0.0146506935467828	0.239619995209755	1.72790234355651	10.4259280552002	12.870323985948	12.2504528442124	25.1536049003163
MDF-13D	0.0160447464595121	0.212265334662175	1.62959211717529	7.9176624346896	7.71068337938544	9.56177339427345	17.0978212378006
mei68113	0.0136757763645014	0.205963618113936	1.77835169308098	9.58896059231991	11.3922202222882	11.4277661597481	22.8056096138883
MM402A	0.0194875004210851	0.283854091706	2.00781380219705	11.7065117398303	12.725386039045	13.730235834009	26.3503578641769
MO113	0.0203295861335719	0.242910123063371	1.79640178181389	11.5995339746909	5.32921468163811	13.4201411637624	18.07751121176
MP	0.00817122925633429	0.155061762864005	2.04135806727308	7.08071520047423	8.0873222990645	9.08520281366855	17.3065575628298
