Gene	Media	p-value	thr001	log2(F1/MP)	MPH_gene_Num	sig
Zm00001d014036	12.3319383	5.20E-87	1.70E-05	0.167768174	NA	additive
Zm00001d042662	12.335307	1.43E-39	1.76E-05	0.167811438	42	Positive
Zm00001d038217	12.33901985	3.82E-61	1.69E-05	0.167859121	NA	additive
Zm00001d032703	12.34117682	1.49E-56	1.72E-05	0.167886821	NA	additive
Zm00001d015984	12.35023098	1.16E-83	1.70E-05	0.168003091	NA	additive
Zm00001d028272	12.35059616	2.22E-73	1.74E-05	0.16800778	NA	additive
Zm00001d016308	12.35325485	1.71E-35	1.70E-05	0.16804192	NA	additive
Zm00001d037115	12.35356284	2.10E-58	1.69E-05	0.168045875	NA	additive
Zm00001d004929	12.3548931	5.40E-23	2.00E-05	0.168062956	NA	additive
Zm00001d007229	12.35643084	2.45E-70	1.68E-05	0.168082701	38	Positive
Zm00001d013428	12.35656297	3.76E-41	1.75E-05	0.168084398	176	Positive
Zm00001d021968	12.35898098	2.98E-42	1.73E-05	0.168115445	NA	additive
Zm00001d033830	12.36049612	7.86E-85	1.73E-05	0.1681349	NA	additive
Zm00001d045738	12.36052024	6.82E-23	1.78E-05	0.168134141	NA	additive
Zm00001d049804	12.36217975	2.09E-17	2.24E-05	0.168156515	NA	additive
Zm00001d046073	12.36418362	3.30E-37	1.72E-05	0.168182246	NA	additive
Zm00001d022485	12.36595309	2.33E-45	1.69E-05	0.168204965	NA	additive
Zm00001d034714	12.3660909	4.68E-69	1.70E-05	0.168206734	60	Positive
Zm00001d012701	12.37114743	3.66E-58	1.71E-05	0.168271655	NA	additive
Zm00001d033745	12.37153944	1.75E-50	1.77E-05	0.168276688	32	Positive
Zm00001d034480	12.37329209	5.95E-54	1.73E-05	0.168299189	36	Positive
Zm00001d031311	12.37352403	1.84E-17	2.24E-05	0.168301203	NA	additive
Zm00001d018325	12.37416629	7.59E-35	1.70E-05	0.168310412	NA	additive
Zm00001d002514	12.37831393	1.93E-31	1.72E-05	0.168362909	NA	additive
Zm00001d033668	12.37856401	2.52E-77	1.72E-05	0.168366871	NA	additive
Zm00001d045940	12.38107653	1.35E-21	1.81E-05	0.168399125	NA	additive
Zm00001d029010	12.3885553	3.96E-44	1.73E-05	0.168495131	NA	additive
Zm00001d016059	12.38864572	3.42E-28	1.75E-05	0.168496233	81	Positive
Zm00001d043445	12.39116037	1.35E-29	1.79E-05	0.168528571	NA	additive
Zm00001d037513	12.39293228	5.36E-20	1.79E-05	0.168551316	308	Positive
Zm00001d040783	12.39553909	1.20E-27	1.69E-05	0.168584777	NA	additive
Zm00001d044685	12.39856456	4.84E-13	1.75E-05	0.168623611	347	Positive
